Assembly,Location,CRE,AST phenotypes
GCA_049383465.1,Brazil: Curitiba,True,"cefepime=S,cefotaxime=SDD,ceftazidime=R,ciprofloxacin=SDD,ertapenem=R,gentamicin=S,imipenem=S,meropenem=S,polymyxin B=S"
GCA_049383885.1,Brazil: Curitiba,True,"cefepime=S,cefotaxime=SDD,ceftazidime=R,ciprofloxacin=S,ertapenem=R,gentamicin=S,imipenem=S,meropenem=S,polymyxin B=S"
GCA_000417065.1,,True,"amikacin=S,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=S,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=S,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=S"
GCA_051549695.1,Ireland,True,"amikacin=R,gentamicin=R,meropenem=R"
GCA_000406485.1,,True,"amikacin=R,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=S"
GCA_000406565.1,,True,"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=R,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=R,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"
GCA_050957505.1,Ireland,True,"amikacin=R,gentamicin=R,meropenem=R"
GCA_014842715.1,Pakistan,True,"amikacin=R,ampicillin-sulbactam=R,ampicillin=R,aztreonam=S,cefazolin=R,cefepime=R,cefotaxime=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,chloramphenicol=R,ciprofloxacin=R,colistin=R,doripenem=R,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=S,meropenem=R,minocycline=S,piperacillin-tazobactam=R,polymyxin B=R,tetracycline=S,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=S"
GCA_022316015.1,USA: Connecticut,True,"amikacin=R,amoxicillin-clavulanic acid=R,ampicillin-sulbactam=R,ampicillin=R,aztreonam=R,cefazolin=R,cefepime=R,cefotaxime-clavulanic acid=R,cefotaxime=R,cefoxitin=I,ceftazidime-clavulanic acid=ND,ceftazidime=ND,ceftriaxone=R,chloramphenicol=ND,ciprofloxacin=R,colistin=ND,doripenem=R,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=R,meropenem=R,minocycline=ND,piperacillin-tazobactam=ND,polymyxin B=ND,tetracycline=I,tigecycline=I,tobramycin=R,trimethoprim-sulfamethoxazole=R"
GCA_000534135.1,"USA: Irvine, CA",True,"amikacin=S,ampicillin=R,cefazolin=R,cefotaxime=R,cefoxitin=R,ceftazidime=R,cephalothin=S,ciprofloxacin=S,ertapenem=R,gentamicin=S,imipenem=R,meropenem=S,nitrofurantoin=R,tigecycline=S"
