"code","full_name"
"1011","(Gram positifs inconnus)"
"1012","(Gram positifs inconnus)"
"1013","(Gram négatifs inconnus)"
"1014","(Gram négatifs inconnus)"
"1015","(levure inconnue)"
"103","Escherichia coli"
"104","Salmonella enterica enterica"
"1100","Streptococcus"
"1101","Viridans groupe Streptococcus (VGS)"
"1102","Streptococcus Bêta-hémolytique"
"1103","Streptococcus"
"111","Escherichia coli"
"1111","Streptococcus pyogenes"
"1112","Streptococcus groupe A"
"1114","Streptococcus agalactiae"
"1115","Streptococcus groupe B"
"1117","Streptococcus groupe C"
"1120","Streptococcus groupe F"
"1123","Streptococcus groupe G"
"1124","Streptococcus Bêta-hémolytique"
"1131","Streptococcus pneumoniae"
"1141","Streptococcus mutans"
"1142","Streptococcus sanguinis"
"1143","Streptococcus mitis"
"1144","Streptococcus anginosus anginosus"
"1145","Streptococcus intermedius"
"1146","Streptococcus equinus"
"1147","Streptococcus salivarius"
"1148","Streptococcus equinus"
"1149","Streptococcus uberis"
"1150","Streptococcus constellatus constellatus"
"1151","Streptococcus acidominimus"
"1152","Streptococcus suis"
"1154","Streptococcus groupe D"
"1200","Enterococcus"
"1201","Enterococcus faecalis"
"1205","Enterococcus faecium"
"1209","Enterococcus avium"
"1213","Enterococcus durans"
"1214","Enterococcus gallinarum"
"1215","Enterococcus casseliflavus"
"1217","Enterococcus hirae"
"1300","Staphylococcus"
"1301","Staphylococcus aureus"
"1311","Staphylococcus à coagulase négative (CoNS)"
"1312","Staphylococcus epidermidis"
"1313","Staphylococcus saprophyticus"
"1314","Staphylococcus hominis hominis"
"1315","Staphylococcus warneri"
"1317","Staphylococcus auricularis"
"1318","Staphylococcus simulans"
"1319","Staphylococcus cohnii"
"1320","Staphylococcus xylosus"
"1321","Staphylococcus sciuri"
"1322","Staphylococcus intermedius"
"1323","Staphylococcus hyicus"
"1324","Staphylococcus haemolyticus"
"1325","Staphylococcus capitis capitis"
"1326","Staphylococcus lugdunensis"
"1328","Staphylococcus schleiferi"
"1330","Staphylococcus à coagulase positif (CoPS)"
"135","Neisseria meningitidis"
"139","Vibrio cholerae"
"1400","Micrococcus"
"145","Escherichia coli"
"149","Escherichia coli"
"1500","Lactococcus"
"1501","Lactococcus lactis lactis"
"157","Escherichia coli"
"1600","Aerococcus"
"1800","Neisseria"
"1801","Neisseria gonorrhoeae"
"1805","Neisseria meningitidis"
"1850","Moraxella"
"1851","Moraxella catarrhalis"
"1K1","Escherichia coli"
"2000","Escherichia"
"2001","Escherichia coli"
"2003","Escherichia coli"
"2004","Escherichia coli"
"2005","Escherichia coli"
"2006","Escherichia coli"
"2007","Escherichia coli"
"2011","Escherichia hermannii"
"2012","Pseudescherichia vulneris"
"2050","Citrobacter"
"2051","Citrobacter freundii"
"2052","Citrobacter koseri"
"2053","Citrobacter amalonaticus"
"2055","Citrobacter braakii"
"2100","Serratia"
"2101","Serratia marcescens"
"2102","Serratia liquefaciens"
"2103","Serratia plymuthica"
"2104","Serratia rubidaea"
"2105","Serratia odorifera"
"2150","Enterobacter"
"2151","Enterobacter cloacae"
"2152","Klebsiella aerogenes"
"2153","Cronobacter sakazakii"
"2154","Pluralibacter gergoviae"
"2155","Enterobacter asburiae"
"2156","Enterobacter cancerogenus"
"2170","Pantoea"
"2171","Pantoea agglomerans"
"2200","Proteus"
"2201","Proteus mirabilis"
"2202","Proteus vulgaris"
"2203","Proteus penneri"
"2250","Morganella"
"2251","Morganella morganii morganii"
"2300","Providencia"
"2301","Providencia rettgeri"
"2304","Providencia alcalifaciens"
"2306","Providencia heimbachae"
"2350","Klebsiella"
"2351","Klebsiella pneumoniae pneumoniae"
"2352","Klebsiella oxytoca"
"2353","Klebsiella pneumoniae ozaenae"
"2354","Klebsiella pneumoniae rhinoscleromatis"
"2400","Yersinia"
"2401","Yersinia enterocolitica"
"2402","Yersinia pestis"
"2403","Yersinia pestis"
"2450","Salmonella"
"2451","Salmonella enterica"
"2452","Salmonella enterica"
"2453","Salmonella"
"2454","Salmonella enterica arizonae"
"2455","Salmonella enterica"
"2456","Salmonella enterica"
"2457","Salmonella enterica"
"2459","Salmonella enterica"
"2461","Salmonella"
"2462","Salmonella"
"2463","Salmonella"
"2464","Salmonella"
"2465","Salmonella"
"2500","Shigella"
"2501","Shigella flexneri"
"2502","Shigella sonnei"
"2503","Shigella dysenteriae"
"2504","Shigella boydii"
"2610","Tatumella"
"2611","Tatumella ptyseos"
"2620","Edwardsiella"
"2621","Edwardsiella tarda"
"2630","Hafnia"
"2631","Hafnia alvei"
"2640","Cedecea"
"2641","Cedecea davisae"
"2650","Kluyvera"
"2651","Kluyvera ascorbata"
"2660","Leclercia"
"2661","Leclercia adecarboxylata"
"2670","Buttiauxella"
"2680","Ewingella"
"2681","Ewingella americana"
"2690","Rahnella"
"2691","Rahnella aquatilis"
"2K2","Escherichia coli"
"3000","Vibrio"
"3001","Vibrio cholerae"
"3002","Vibrio cholerae"
"3003","Vibrio cholerae"
"3004","Vibrio parahaemolyticus"
"3005","Vibrio fluvialis"
"3006","Vibrio mimicus"
"3007","Vibrio vulnificus"
"3008","Vibrio alginolyticus"
"3009","Vibrio furnissii"
"3050","Aeromonas"
"3051","Aeromonas hydrophila"
"3052","Aeromonas sobria"
"3053","Aeromonas caviae"
"3100","Pasteurella"
"3101","Pasteurella multocida"
"3150","Plesiomonas"
"3151","Plesiomonas shigelloides"
"3200","Haemophilus"
"3201","Haemophilus influenzae"
"3230","Haemophilus parainfluenzae"
"3240","Haemophilus haemolyticus"
"3241","Haemophilus parahaemolyticus"
"3242","Canicola haemoglobinophilus"
"3243","Haemophilus ducreyi"
"3244","Aggregatibacter aphrophilus"
"3250","Gardnerella"
"3251","Gardnerella vaginalis"
"3270","Bordetella"
"3271","Bordetella pertussis"
"3272","Bordetella pertussis"
"3273","Bordetella pertussis"
"3300","Legionella"
"3400","Actinobacillus"
"3401","Aggregatibacter actinomycetemcomitans"
"3430","Capnocytophaga"
"3450","Cardiobacterium"
"3451","Cardiobacterium hominis"
"3470","Eikenella"
"3471","Eikenella corrodens"
"3500","Francisella"
"3501","Francisella tularensis tularensis"
"3550","Brucella"
"3551","Brucella melitensis"
"3553","Brucella melitensis"
"3554","Brucella melitensis"
"3556","Brucella melitensis"
"3700","Campylobacter"
"3701","Campylobacter jejuni jejuni"
"3702","Campylobacter coli"
"3703","Campylobacter fetus fetus"
"3730","Helicobacter"
"3731","Helicobacter pylori"
"3800","Kingella"
"3801","Kingella kingae"
"4000","Pseudomonas"
"4001","Pseudomonas aeruginosa"
"4003","Ralstonia pickettii"
"4011","Pseudomonas putida"
"4012","Pseudomonas fluorescens"
"4015","Pseudomonas stutzeri"
"4050","Burkholderia"
"4051","Burkholderia cepacia"
"4052","Burkholderia mallei"
"4053","Burkholderia mallei"
"4100","Alcaligenes"
"4101","Alcaligenes faecalis"
"4102","Achromobacter xylosoxidans"
"4150","Xanthomonas"
"4151","Stenotrophomonas maltophilia"
"4200","Flavobacterium"
"4201","Myroides odoratus"
"4210","Myroides"
"4250","Chryseobacterium"
"4251","Elizabethkingia meningoseptica"
"4252","Chryseobacterium indologenes"
"4300","Sphingobacterium"
"4301","Sphingobacterium multivorum"
"4302","Sphingobacterium spiritivorum"
"4350","Shewanella"
"4351","Shewanella putrefaciens"
"4400","Acinetobacter"
"4401","Acinetobacter calcoaceticus"
"4402","Acinetobacter baumannii"
"4403","Acinetobacter lwoffii"
"4450","Rhizobium"
"4451","Agrobacterium radiobacter"
"4501","Moraxella lacunata"
"4502","Moraxella osloensis"
"4503","Moraxella bovis"
"4550","Chromobacterium"
"4551","Chryseomonas luteola"
"4600","Comamonas"
"4601","Delftia acidovorans"
"4610","Delftia"
"4650","Pseudomonas"
"4651","Pseudomonas oryzihabitans"
"479","Shigella flexneri"
"5000","Peptostreptococcus"
"5001","Finegoldia magna"
"5002","Anaerococcus prevotii"
"5003","Peptoniphilus asaccharolyticus"
"5004","Peptostreptococcus anaerobius"
"5005","Blautia coccoides"
"5006","Parvimonas micra"
"5020","Peptococcus"
"5021","Peptococcus niger"
"5033","Finegoldia"
"5036","Parvimonas"
"5042","Ruminococcus"
"5050","Clostridium"
"5051","Clostridioides difficile"
"5052","Clostridium perfringens"
"5053","Clostridium tetani"
"5054","Clostridium botulinum"
"5055","Clostridium septicum"
"5100","Eubacterium"
"5150","Propionibacterium"
"5151","Cutibacterium acnes"
"5200","Bifidobacterium"
"5400","Mobiluncus"
"5500","Bacteroides"
"5501","Bacteroides fragilis"
"5502","Bacteroides ovatus"
"5503","Bacteroides thetaiotaomicron"
"5504","Phocaeicola vulgatus"
"5505","Parabacteroides distasonis"
"5506","Bacteroides uniformis"
"5507","Bacteroides caccae"
"5550","Prevotella"
"5551","Prevotella melaninogenica"
"5552","Hoylesella oralis"
"5553","Xylanibacter ruminicola"
"5554","Prevotella bivia"
"5555","Segatella buccae"
"5556","Prevotella denticola"
"5557","Hoylesella loescheii"
"5558","Prevotella intermedia"
"5559","Prevotella corporis"
"5600","Porphyromonas"
"5601","Porphyromonas asaccharolytica"
"5602","Porphyromonas gingivalis"
"5650","Fusobacterium"
"5651","Fusobacterium nucleatum nucleatum"
"5652","Fusobacterium varium"
"5653","Fusobacterium necrophorum necrophorum"
"5654","Fusobacterium mortiferum"
"5800","Veillonella"
"5801","Veillonella parvula"
"5900","Lactobacillus"
"6000","Corynebacterium"
"6001","Corynebacterium diphtheriae"
"6002","Corynebacterium jeikeium"
"6050","Listeria"
"6051","Listeria monocytogenes"
"6100","Bacillus"
"6101","Bacillus cereus"
"6102","Bacillus subtilis"
"6103","Bacillus anthracis"
"6200","Nocardia"
"6201","Nocardia asteroides"
"6203","Nocardia brasiliensis"
"6300","Actinomyces"
"6301","Actinomyces israelii"
"6500","Mycobacterium"
"6501","Mycobacterium tuberculosis"
"6502","Mycobacterium tuberculosis"
"6503","Mycobacterium avium"
"6504","Mycobacterium intracellulare"
"6505","Mycobacterium avium avium"
"6506","Mycobacterium kansasii"
"6507","Mycobacterium marinum"
"6508","Mycobacterium scrofulaceum"
"6509","Mycobacterium gordonae"
"6510","Mycobacterium fortuitum"
"6511","Mycobacterium chelonae chelonae"
"6512","Mycobacterium abscessus"
"7000","Candida"
"7001","Candida albicans"
"7002","Candida tropicalis"
"7003","Nakaseomyces glabratus"
"7005","Pichia kudriavzevii"
"7006","Meyerozyma guilliermondii"
"7007","Candida dubliniensis"
"7110","Cryptococcus"
"7111","Cryptococcus neoformans"
"7120","Trichosporon"
"7122","Staphylococcus capitis capitis"
"7123","Trichosporon asahii"
"7124","Trichosporon"
"7130","Rhodotorula"
"7131","Rhodotorula mucilaginosa"
"7140","Saccharomyces"
"7141","Saccharomyces cerevisiae"
"7150","Malassezia"
"7151","Malassezia furfur"
"7300","Aspergillus"
"7301","Aspergillus flavus"
"7302","Aspergillus fumigatus"
"7303","Aspergillus nidulans"
"7304","Aspergillus niger"
"7305","Aspergillus terreus"
"7310","Allopseudospirillum japonicum"
"7311","Thalassorhabdomicrobium marinisediminis"
"7320","Trichophyton"
"7321","Trichophyton rubrum"
"7322","Trichophyton mentagrophytes"
"7323","Trichophyton tonsurans"
"7330","Microsporum"
"7331","Microsporum canis"
"7332","Nannizzia gypsea"
"7340","Cladosporium"
"7350","Fonsecaea"
"7351","Fonsecaea pedrosoi"
"7360","Alternaria"
"7362","Alternaria alternata"
"7400","Epibacterium ulvae"
"7401","Effusibacillus lacus"
"7410","Streptococcus thermophilus"
"7411","Sporolactobacillus shoreicorticis"
"7420","Fusarium"
"7421","Nucleospora salmonis"
"7430","Absidia"
"7431","Absidia"
"7500","Mucor"
"7510","Rhizomucor"
"7511","Rhizomucor pusillus"
"7520","Rhizopus"
"7521","Rhizopus"
"7530","Clostridioides"
"7531","Citreimonas salinaria"
"7540","Histoplasma"
"7541","Histoplasma capsulatum"
"7550","Chrysosporium"
"7551","Blastomonas delafieldii"
"7560","Psychrobacter coccoides"
"7561","Phytobacter"
"788","Escherichia coli"
"8000","Mycoplasma"
"8001","Mycoplasmoides pneumoniae"
"8100","Ureaplasma"
"8101","Ureaplasma urealyticum"
"8200","Chlamydia"
"8201","Chlamydia trachomatis"
"8202","Chlamydia psittaci"
"8203","Chlamydia pneumoniae"
"8204","Chlamydia pecorum"
"8210","Chlamydia"
"8300","Treponema"
"8301","Treponema pallidum"
"8400","Leptospira"
"8401","Leptospira interrogans"
"8402","Leptotrichia buccalis"
"8500","Borrelia"
"8501","Borrelia burgdorferi"
"8600","Rickettsia"
"9000","Entamoeba"
"9001","Entamoeba histolytica"
"9010","Chryseobacterium phosphatilyticum"
"9011","Cryptosporangium phraense"
"9020","Chryseomonas luteola"
"9021","Caldicellulosiruptor saccharolyticus"
"9030","Isosphaera"
"9040","Giardia"
"9041","Giardia duodenalis"
"9050","Bacterioplanoides pacificum"
"9051","Bifidobacterium colobi"
"9070","Trichomonas"
"9071","Trichomonas vaginalis"
"9080","Toxoplasma"
"9081","Toxoplasma gondii"
"9801","Acholeplasma"
"9802","Acidaminococcus"
